Term	boolean	country	day	establishmentMeans	institutionCode	lifeStage	month	plateWell	processingLab	sequencingLab	sex	typeStatus	year
		Wallis and Futuna			ATH<IH>								
		West Bank			ATHU<IH>								
		Western Sahara			ATHUM								
		Yemen			ATSC								
		Zambia			ATU								
		Zimbabwe			AU<IH>								
					AUA<IH>								
					AUB<IH>								
					AUBL								
					AUBSN<IH>								
					AUCE								
					AUEM								
					AUG<IH>								
					AUGD								
					AUH<IH>								
					AUM								
					AUMC								
					AURO<IH>								
					AUSPGRIS								
					AUT<IH>								
					AUW								
					AV<IH>								
					AVE<IH>								
					AVU<IH>								
					AWH<IH>								
					AWL<IH>								
					AWQC								
					AWRI								
					AYBY<IH>								
					AYDN<IH>								
					AYR<IH>								
					AZ<IH>								
					AZAN								
					AZB								
					AZB<IH>								
					AZU<IH>								
					AZUS<IH>								
					B<IH>								
					BA<IH>								
					BAA<IH>								
					BAAC								
					BAB<IH>								
					BABY<IH>								
					BAC								
					BAC<IH>								
					BACC								
					BACH<IH>								
					BACP<IH>								
					BAE<IH>								
					BAF<IH>								
					BAFC<IH>								
					BAG<IH>								
					BAH								
					BAH<IH>								
					BAI<IH>								
					BAIL<IH>								
					BAJ<IH>								
					BAK<IH>								
					BAL<IH>								
					BALT<IH>								
					BAMBO<IH>								
					BAMU<IH>								
					BAMZ<IH>								
					BAN<IH>								
					BANG<IH>								
					BAP<IH>								
					BAR<IH>								
					BARC<IH>								
					BARO<IH>								
					BART<IH>								
					BAS								
					BAS<IH>								
					BASBG<IH>								
					BASSA<IH>								
					BASU<IH>								
					BAT<IH>								
					BATA<IH>								
					BATH<IH>								
					BATHG<IH>								
					BATU<IH>								
					BAU<IH>								
					BAV<IH>								
					BAY<IH>								
					BAYLU<IH>								
					BB								
					BB<IH>								
					BBB<IH>								
					BBF<IH>								
					BBG<IH>								
					BBH<IH>								
					BBLF								
					BBLM<IH>								
					BBNP								
					BBPP								
					BBS<IH>								
					BBSUK<IH>								
